Title,Min Salary,Max Salary,Salary Period,Company Name,State,Remote
Sr Data Analyst,106000,134000,Yearly,Corebridge Financial,TX,No
Supply Chain Strategic Data Analyst,,,,,,No
Network Data Analyst,43000,79000,Yearly,Premier Inc.,,Yes
IT Data Entry Analyst,55000,70000,Yearly,Queens District Attorney's Office,NY,No
Data Analyst,75200,95200,Yearly,Philadelphia District Attorney's Office,,No
Sr. Data Analyst,87100,110000,Yearly,"Laredo Petroleum, Inc. v2",OK,No
Data Analyst,85800,109000,Yearly,Macro Solutions,TX,No
DEI Health Equity Data Analyst (Remote - OR/WA only),,,,Legacy Health,OR,Yes
Data Analyst,63800,91100,Yearly,HGA Architects & Engineers,,No
Business Analyst III,76700,122700,Yearly,CareSource,,Yes
Sr Business Analyst,85000,108000,Yearly,HCSC,IL,No
BI Data Analyst III,,,,MedImpact Healthcare Systems,,Yes
Customer Success Business Analyst,65000,95000,Yearly,Curology,,Yes
Operations BI Data Analyst III,75200,95200,Yearly,Thermo Fisher Scientific,OR,No
Senior Data Management Analyst,92700,127900,Yearly,BillGO,CO,Yes
Senior Data & BI Analyst,89500,113000,Yearly,Luxoft,,Yes
Senior Data Analyst,94400,120000,Yearly,Movement Mortgage,,No
Data Analyst,60000,60000,Yearly,University of West Florida,FL,No
Clinical Data Analyst Sr. (Remote),,,,,,No
Business Data Analyst,60300,76300,Yearly,Acreage Holdings,NJ,No
Business Analyst II,64800,82000,Yearly,FIS Global,,No
Data and Reporting Analyst,,,Yearly,CCHP Health Plan,,No
Student Worker - RFID Data Analyst,15,15,Hourly,Auburn University,AL,No
Data Analyst Associate - Level 1,,,,Lockheed Martin,,No
Business Analyst,102000,129000,Yearly,Eagle Eye Solutions,CA,No
"Data Analyst, Fetal Care Center",34.43,56.8,Hourly,CHOC Children's,CA,No
Data Analyst,98800,125000,Yearly,Logic Loops,TX,No
JD Logistics - Data Analyst,58100,73500,Yearly,JD.com,NJ,No
Data Analyst Specialist,76600,97100,Yearly,Technology Ventures,VA,No
Senior Data Analyst,94160,160710,Yearly,Western Union,,No
Data Systems Analyst,,,Daily,University of California San Francisco,,Yes
Data Analyst,62000,78600,Yearly,Curana Health,LA,No
Diversity Equity & Inclusion Data Analyst,29.16,42.28,Hourly,CommonSpirit Health,KY,No
Data Analyst,58500,74100,Yearly,Safe-Guard Products International LLC,GA,No
Data Analyst,61300,77600,Yearly,GC America Inc,,Yes
Healthcare Data Analyst: Claims / Authorizations (Remote),,,Daily,Providence Health Plan,,Yes
Quality Data Analyst,45200,57300,Yearly,Singing River Health System,,No
Space Data Analyst,69800,88400,Yearly,JLL,CA,No
Senior Business Intelligence and Data Analyst,140000,140000,Yearly,CuriosityStream Inc.,MD,No
Power BI Analyst,70000,90000,Yearly,Forward Thinking Technology Solutions,PA,No
ICQA Data Analyst,44100,55900,,Amazon.com Services LLC,MI,No
Data Analyst for College of Nursing,65800,83400,Yearly,California Baptist University,,No
"Senior Analyst, Data Management",95000,115000,Yearly,"Sony Pictures Entertainment, Inc.",CA,No
Junior Business Analyst (Remote until Covid),30,35,Hourly,Agama Solutions,CA,No
DATA SCIENCE ANALYST,73600,93100,Yearly,Old National Bank,,No
Research Data Analyst,,,Daily,University of California San Francisco,,Yes
Data Analyst,56100,71000,Yearly,"Health One Alliance, LLC",GA,No
Data Analyst - Level 2,64900,82100,Yearly,Sikorsky Aircraft Corporation,,No
Procurement Business Analyst,26.09,27.32,Hourly,"University of California, Santa Barbara",CA,Yes
Data Analyst - Health Plan,,,Hourly,Presbyterian Healthcare Services,NM,Yes
Data Platform Systems Analyst,,,,,,No
BI Analyst,67100,85000,Yearly,FIRSTSPEAR LLC,MO,No
Data Analyst (Management Operations Analyst I),4982,7369,Monthly,State of Illinois,IL,No
Data Specialist,57700,73000,Yearly,TPA Steam,OH,No
Data Quality Analyst,63700,80600,Yearly,TP ICAP,NY,Yes
Business Data Analyst,87700,111000,Yearly,Prepaid Wireless Wholesale LLC,MD,Yes
Senior Data Analyst (Remote),100000,127000,Yearly,Cambridge Technology Enterprises (CTE),,Yes
Sr. Data Analyst,60000,60000,Yearly,Procal Technologies,NJ,No
Business Analyst,72900,92300,Yearly,"iHeartMedia, Inc.",,No
Data Analyst,79700,101000,Yearly,Acrisure,MI,Yes
Population Health Data Analyst Senior - Remote Online,,,,Advocate Aurora Health,IL,Yes
Data Analyst II,85000,108000,Yearly,Ironclad Technology Services,DC,No
Senior Data Analyst,77700,98400,Yearly,FrankCrum,FL,No
"Coordinator III, Assessment - Data Analyst",66600,84300,Yearly,Clark County School District,,No
BUSINESS ANALYST,84500,107000,Yearly,Kastling Group,VA,No
"Data Analyst - CQO & MSS (Onsite Position, Not Remote)",49200,62200,Yearly,Lexington Medical Center,SC,No
Channel eCommerce Data Analyst,71600,90700,Yearly,Analog Devices,MA,No
